# AI-review status, one row per notebook. Maintained by build_ai_review_status.py;
# EDIT THE status AND reviewed_date COLUMNS BY HAND -- that is the point of the file.
#
#   unreviewed      agent-touched prose, not yet reviewed -> student-facing banner
#   reviewed        signed off -> no banner. Set reviewed_date too (YYYY-MM-DD).
#   reviewed-stale  was reviewed, prose changed since -> banner returns. Re-read,
#                   then set back to `reviewed`. NEVER set automatically to
#                   `reviewed` -- that would hide an edit made after sign-off.
#   exempt          never banner (no agent-touched prose, or none student-facing).
#
# changed/added are COUNTS OF MARKDOWN CELLS vs the immutable anchor feb00d2
# (2026-08-17). `changed` displaced an existing human voice and is the serious
# column; `added` is new prose that displaced nothing.
#
# LIMIT: this is blind to AI text older than the anchor. Read it as "everything
# since agent editing began", never as "all AI-drafted text".
#
# Re-running the generator PRESERVES your `reviewed` rows. It is safe.

path	status	reviewed_date	changed	added	voice	note
notebooks/1-dev/IP.ipynb	unreviewed		11	3	dowling	
notebooks/1-dev/LP.ipynb	unreviewed		3	2	dowling	
notebooks/1-dev/Local-Install.ipynb	unreviewed		3	0	dowling	
notebooks/1-dev/Milk-Pooling.ipynb	unreviewed		0	11	ai-drafted	
notebooks/1-dev/NLP.ipynb	unreviewed		8	2	dowling	
notebooks/1-dev/Optimization-Modeling.ipynb	unreviewed		4	0	dowling	
notebooks/1-dev/Portfolio-Optimization.ipynb	unreviewed		0	13	ai-drafted	
notebooks/1-dev/Pyomo-Introduction.ipynb	unreviewed		2	1	dowling	
notebooks/1-dev/Pyomo-Nuts-and-Bolts.ipynb	unreviewed		29	2	dowling	
notebooks/1-dev/Sudoku_Solver.ipynb	unreviewed		0	23	contributed	
notebooks/2-dev/Logical_Modeling_GDP.ipynb	unreviewed		14	0	contributed	
notebooks/2-dev/Modeling_Disjunctions_Strip_Packing.ipynb	unreviewed		6	0	contributed	
notebooks/2-dev/old/DAE-modeling-old.ipynb	exempt		0	0	dowling	
notebooks/2-dev/old/DAE-modeling.ipynb	exempt		0	0	dowling	
notebooks/2-dev/old/GDP.ipynb	exempt		0	0	dowling	
notebooks/2-dev/old/Numeric-Integration.ipynb	exempt		0	0	dowling	
notebooks/2-dev/old/Pyomo-DAE.ipynb	exempt		0	0	dowling	
notebooks/2-dev/old/SP-old.ipynb	exempt		0	0	dowling	
notebooks/3-dev/DAE_background.ipynb	unreviewed		6	3	contributed	
notebooks/3-dev/DAE_numeric_integration.ipynb	unreviewed		7	4	contributed	
notebooks/3-dev/PyomoDAE_TCLab.ipynb	unreviewed		6	2	dowling	
notebooks/3-dev/PyomoDAE_car.ipynb	unreviewed		2	1	dowling	
notebooks/3-dev/PyomoDAE_example.ipynb	unreviewed		2	1	contributed	
notebooks/3-dev/PyomoDAE_theory.ipynb	unreviewed		5	0	contributed	
notebooks/3-dev/hot_air_balloon.ipynb	unreviewed		13	1	contributed	
notebooks/4-dev/AdvancedTopics.ipynb	unreviewed		1	0	contributed	
notebooks/4-dev/RiskMeasures.ipynb	unreviewed		9	4	contributed	
notebooks/4-dev/SP.ipynb	unreviewed		6	1	contributed	
notebooks/4-dev/blocks.ipynb	unreviewed		4	1	dowling	
notebooks/5-dev/Parmest-generate-data.ipynb	exempt		0	0	contributed	
notebooks/5-dev/Parmest-tutorial.ipynb	unreviewed		5	1	contributed	
notebooks/5-dev/Pyomo_DoE_Tutorial.ipynb	unreviewed		11	0	contributed	
notebooks/6-dev/Globalization.ipynb	unreviewed		4	1	dowling	
notebooks/6-dev/Math-Primer-2.ipynb	unreviewed		6	0	dowling	
